name,Date,Lived here...,Famous_for,Address,Hear the story,latitude,longitude,DIID,Parklane,Belgravia,
BAGNOLD; Enid,(1889-1981),Novelist and Playwright; lived here. Address: 29 Hyde Park Gate; SW7,,,,51.500366,-0.181483,,N,N,
BAILLIE; Joanna ,(1762-1851),Poet and Dramatist. Lived in this house; for nearly 50; years. Address: Bolton House; Windmill Hill; NW3,,,,51.553015,-0.163253,,N,N,
BAIRD; John Logie,(1888-1946),In this house; John Logie; Baird; 1888-1946 First demonstrated television Address: 22 Frith Street; W1,,,,51.513326,-0.131353,,N,N,
BAIRD; John Logie,(1888-1946),Television Pioneer; lived here. Address: 3 Crescent Wood Road; Sydenham; SE26,,,,51.432539,-0.072917,,N,N,
BAIRNSFATHER; Bruce,(1888-1959),Cartoonist; lived here. Address: 1 Sterling Street; off Montpelier Square; SW7,,,,51.499969,-0.166981,,N,N,
BALCON; Sir Michael,(1896-1977),Film Producer; worked here; 1938-1956 Address: Ealing Film Studios; Ealing Green; W5,,,,51.527759,-0.303138,,N,N,
BALDWIN; Stanley,(1867-1947),Earl Baldwin of Bewdley; Prime Minister; lived here. Address: 93 Eaton Square; SW1,,,,51.496064,-0.152346,,N,N,
BALFE; Michael William,(1808-1870),Musical Composer; lived here. Address: 12 Seymour Street; W1,,,,51.514435,-0.160242,,N,N,
BALLANTYNE; R.M.,(1825-1894),Author of books for boys; lived here. Address: Duneaves; Mount Park Road,,,,51.569752,-0.333171,,N,N,
BANKS; Sir Joseph,(1743-1820),Sir Joseph Banks 1743-1820; President of the Royal Society; Robert Brown 1773-1858 and; David Don 1800-1841 Botanists; Lived in a house on this site; The Linnean Society met here 1821-1857. On rebuilt premises. Replaces plaque put up in 1911 on old premises. Address: 32 Soho Square; W1,,,,51.515304,-0.132832,,N,N,
BARING; Evelyn; 1st Earl of Cromer,(1841-1917),Colonial Administrator; lived and died here. Address: 36 Wimpole Street; W1,,,,51.517359,-0.147901,,N,N,
BARLOW; William Henry,(1812-1902),Engineer; lived and died here. Address: 'High Combe'; 145 Carlton Road; Charlton; SE7,,,,51.486101,0.026372,,N,N,
BARNARDO; Dr Thomas John,(1845-1905),Doctor; Barnardo; 1845-1905. Began his work; for children in a; building on this; site in 1866 Address: 58 Solent House; Ben Jonson Road; E1,,,,51.52157,-0.045486,,N,N,
BARNETT; Canon Samuel,(1844-1913),Social Reformer; lived here Address: Heath End House; Spaniards Road; Hampstead; NW3,,,,51.553015,-0.163253,,N,N,
BARNETT; Dame Henrietta,(1851-1936),"Founder of Hampstead Garden Suburb; and Canon Samuel BARNETT (1844-1913), Social Reformer; lived here. Address: Heath End House; Spaniards Road; Hampstead; NW3",,,,51.553015,-0.163253,,N,N,
BARRIE; Sir James,(1860-1937),Novelist and Dramatist; lived here. Address: 100 Bayswater Road; W2,,,,51.510548,-0.183008,,N,N,
BARRY; Sir Charles,(1795-1860),Architect; lived and died here. Address: The Elms; Clapham Common North Side; SW4,,,,51.4613,-0.155788,,N,N,
BART$K; B$la,(1881-1945),Hungarian Composer; stayed here when performing in London. Address: 7 Sydney Place; South Kensington; SW7,,,,51.492458,-0.172349,,N,N,
BASEVI; George,(1794-1845),Architect; lived here. Address: 17 Savile Row; W1,,,,51.511147,-0.140639,,N,N,
BATEMAN; H.M.,(1887-1970),Cartoonist; lived here 1910-1914. Address: 40 Nightingale Lane; Clapham South; SW12,,,,51.45103,-0.154715,,N,N,
BAX; Sir Arnold,(1883-1953),Composer; was born here. Address: 13 Pendennis Road; Streatham; SW16,,,,51.431898,-0.127819,,N,N,
BAYES; Gilbert,(1872-1953),Sculptor; lived here 1931-1953 Address: 4 Greville Place; NW6,,,,51.536185,-0.19101,,N,N,
BAYLIS; Lilian,(1874-1937),Manager of the Old Vic and Sadlers Wells Theatres; lived and died here. Address: 27 Stockwell Park Road; SW9,,,,51.473688,-0.118198,,N,N,
BAZALGETTE; Sir Joseph William,(1819-1891),Civil Engineer; lived here. Address: 17 Hamilton Terrace; St John's Wood; NW8,,,,51.526882,-0.177,,N,N,
BEARD; John,(1717-1791),"Singer and WILLIAM EWART (1798-1869), Promoter of public libraries lived here. Address: Hampton Branch Library; Rose Hill; Hampton",,,,51.426416,-0.37711,,N,N,
BEARDSLEY; Aubrey,(1872-1898),Artist; lived here. Address: 114 Cambridge Street; SW1,,,,51.489548,-0.142524,,N,N,
BEAUFORT; Sir Francis,(1774-1857),Admiral and Hydrographer; lived here. Address: 51 Manchester Street; W1,,,,51.517856,-0.153589,,N,N,
BEECHAM; Sir Thomas; CH,(1879-1961),Conductor and Impresario; lived here. Address: 31 Grove End Road; St John's Wood; NW8,,,,51.532464,-0.176604,,N,N,
BEERBOHM; Sir Max,(1872-1956),Artist and Writer; born here. Address: 57 Palace Gardens Terrace; W8,,,,51.507793,-0.193377,,N,N,
"BELL, Gertrude",(1868-1924),"Writer, traveller, political officer, administrator, and archaeologist","Writer, traveller, political officer, administrator, and archaeologist","90 Sloane St, Chelsea, SW1X 9PQ",https://ndiid.com/yogvCIWM-reLf39lC8dA4VJF1ahqHdbbAVeTDhYNqKM,51.496098,-0.158828,Belgravia,N,Y,
BELLO; Andres,(1781-1865),Poet; Jurist; Philologist and Venezuelan Patriot; lived here in 1810. Address: 58 Grafton Way; W1,,,,51.523456,-0.137845,,N,N,
BELLOC; Hilaire,(1870-1953),Poet; Essayist and Historian; lived here 1900-1905. Address: 104 Cheyne Walk; SW10,,,,51.481526,-0.176203,,N,N,
BEN-GURION; David,(1886-1973),First Prime Minister of Israel; lived here. Address: 75 Warrington Crescent; Maida Vale; W9,,,,51.526366,-0.183856,,N,N,
BENEDICT; Sir Julius,(1804-1885),Musical Composer; lived and died here. Address: 2 Manchester Square; W1,,,,51.517626,-0.153527,,N,N,
BENES; Dr Edvard,(1884-1948),President of Czechoslovakia; lived here. Address: 26 Gwendolen Avenue; Putney; SW15,,,,51.460142,-0.22266,,N,N,
BENNETT; Arnold,(1867-1931),Novelist; lived here. Address: 75 Cadogan Square; SW1,,,,51.492028,-0.159603,,N,N,
BENNETT; Sir William Sterndale,(1816-1875),Composer; lived here. Address: 38 Queensborough Terrace; Bayswater; W2,,,,51.512249,-0.185425,,N,N,
BENSON; E.F.,(1867-1940),Writer; lived here. Address: 25 Brompton Square; SW3,,,,51.498322,-0.169274,,N,N,
BENTHAM; George,(1800-1884),Botanist; lived here. Address: 25 Wilton Place; Belgravia; SW1,,,,51.496146,-0.143216,,N,N,
BENTLEY; John Francis,(1839-1902),Architect; lived here. Address: 43 Old Town; Clapham; SW4,,,,51.46416,-0.141194,,N,N,
BERESFORD; Jack,(1899-1977),Olympic Rowing Champion lived here; 1903-1940 Address: 19 Grove Park Gardens; W4,,,,51.482442,-0.271789,,N,N,
BERLIOZ; Hector,(1803-1869),Composer; stayed here in 1851. Address: 58 Queen Anne Street; W1,,,,51.518141,-0.146592,,N,N,
BERNAL; John Desmond,(1901-1971),Crystallographer; lived and died here. Address: 44 Albert Street; NW1,,,,51.534838,-0.142042,,N,N,
BESANT; Annie,(1847-1933),Social Reformer; lived here in 1874. Address: 39 Colby Road; SE19,,,,51.42398,-0.0811,,N,N,
BESANT; Sir Walter,(1836-1901),Novelist and Antiquary; lived and died here. Address: Frognal End; 18 Frognal Gardens; Hampstead; NW3,,,,51.556032,-0.181435,,N,N,
BESTALL; Alfred,(1892-1986),Illustrator of; Rupert Bear; lived here; 1936-1966 Address: 58 Cranes Park; Surbiton; KT5,,,,51.399574,-0.300276,,N,N,
BETJEMAN; Sir John,(1906-1984),Poet; lived here; 1908-1917 Address: 31 Highgate West Hill; Highgate; N6,,,,51.564975,-0.153086,,N,N,
BEVAN; Robert Polhill,(1865-1925),Camden Town Group Painter; lived here 1900-1925. Address: 14 Adamson Road; NW3,,,,51.544842,-0.17241,,N,N,
BEVIN; Ernest,(1881-1951),Trade Union Leader and Statesman; lived here in Flat No. 8 1931-1951. Address: 34 South Moulton Street; W1,,,,51.513851,-0.148209,,N,N,
BLACKIE; Dr Margery,(1898-1981),Homoeopathic Physician; lived and worked here 1929-1980 Address: 18 Thurloe Street; SW7,,,,51.494512,-0.173315,,N,N,
BLIGH; William,(1754-1817),Commander of the 'Bounty'; lived here. Address: 100 Lambeth Road; SE1,,,,51.496651,-0.110728,,N,N,
BLISS; Sir Arthur,(1891-1975),Composer; lived here 1929-1939. Address: East Heath Lodge; 1 East Heath Road; Hampstead; NW3,,,,51.564573,-0.163741,,N,N,
BLUMLEIN; Alan Dower,(1903-1942),Electronics Engineer and Inventor; lived here. Address: 37 The Ridings; W5,,,,51.525398,-0.288539,,N,N,
BLYTON; Enid,(1897-1968),Children's Writer; lived here 1920-1924. Address: 207 Hook Road; Chessington,,,,51.372879,-0.304857,,N,N,
BODLEY; George Frederick,(1827-1907),Gothic Architect lived here 1862 - 1873 Address: 109 Harley Street,,,,51.521493,-0.148136,,N,N,
BOLIVAR; Simon,(1783-1830),Liberator of Latin America; lodged here in 1810 Address: 4 Duke Street; W1,,,,51.516251,-0.152394,,N,N,
BOMBERG; David,(1890-1957),Painter; lived and worked here 1928-1934. Address: 10 Fordwych Road; West Hampstead; NW2,,,,51.548065,-0.201848,,N,N,
BONAR LAW; Andrew,(1858-1923),Prime Minister; lived here. Address: 24 Onslow Gardens; SW7,,,,51.491415,-0.176639,,N,N,
BONHAM CARTER; Lady Violet; Baroness Asquith of Yarnbury,(1887-1969),Politician and Writer; lived here. Address: 43 Gloucester Square; W2,,,,51.514546,-0.169882,,N,N,
BOOTH; Charles,(1840-1916),Pioneer in Social Research; lived here. Address: 6 Grenville Place; SW7,,,,51.495724,-0.185007,,N,N,
BORROW; George,(1803-1881),Author; lived here. Address: 22 Hereford Square; SW7,,,,51.492646,-0.182103,,N,N,
BOSWELL; James,(1740-1795),Biographer; Lived and died in a house on this site. Address: 122 Great Portland Street; W1,,,,51.5198,-0.142588,,N,N,
BOULT; Sir Adrian; CH,(1889-1983),Conductor; lived at flat No. 78 1966-1977. Address: 78 Marlborough Mansions; Cannon Hill; West Hampstead; NW6,,,,51.531931,-0.195527,,N,N,
BOW STREET ,(XXXX),"was formed about 1637. It has been the residence of many notable men; among whom were: Henry FIELDING (1707-1754), Novelist; Sir John FIELDING (d.1780), magistrate; Grinling GIBBONS (1648-1721), Wood Carver; Charles MACKLIN (1697?-1797), Actor; John RADCLIFFE (1650-1714), Physician; Charles SACKVILLE; Earl of Dorset (1638-1706), Poet; William WYCHERLEY (1640?-1716), Dramatist. Address: 19-20 Bow Street; WC2Address: 19-20 Bow Street; WC2",,,,51.513549,-0.122586,,N,N,
BRAILSFORD; Henry Noel,(1873-1958),Writer; Champion of Equal and Free Humanity; lived here. Address: 37 Belsize Park Gardens; NW3,,,,51.547745,-0.167706,,N,N,
BRAIN; Dennis,(1921-1957),Horn-Player; lived here. Address: 37 Frognal; Hampstead; NW3,,,,51.553076,-0.181156,,N,N,
BRANGWYN; Sir Frank,(1867-1956),Artist; lived here. Address: Temple Lodge; 51 Queen Caroline Street; W6,,,,51.490287,-0.225728,,N,N,
BRIDGE; Frank,(1879-1941),Composer and Musician; lived here. Address: 4 Bedford Gardens; W8,,,,51.506471,-0.194606,,N,N,
BRIDGEMAN; Charles,(XXXX),Landscape Gardener; lived here 1723-1738. Address: 54 Broadwick Street; Soho; W1,,,,51.513292,-0.136866,,N,N,
BRIGHT; Richard,(1789-1858),Physician; lived here. Address: 11 Savile Row; W1,,,,51.510797,-0.140299,,N,N,
BRITTAIN; Vera,(1893-1970),HOLTBY; Winifred (1898-1935). Writers and Reformers; lived here. Address: 58 Doughty Street; WC1,,,,51.523049,-0.116103,,N,N,
BRITTEN; Benjamin; O.M.,(1913-1976),Composer; lived here 1931-1933. Address: 173 Cromwell Road; SW5,,,,51.494708,-0.191446,,N,N,
BROOKE; Sir Charles Vyner,(1874-1963),Last Rajah of Sarawak; lived here. Address: 13 Albion Street; W2,,,,51.513699,-0.166832,,N,N,
BROWN; Ford Madox,(1821-1893),Painter; lived here Address: 56 Fortress Road; Kentish Town; NW5,,,,51.55338,-0.140862,,N,N,
BROWNE; Hablot Knight alias 'PHIZ',(1815-1882),Illustrator of Dickens's novels; lived here 1874-1880 Address: 239 Ladbroke Grove; W10,,,,51.520581,-0.211878,,N,N,
BROWNING; Elizabeth Barrett,(1806-1861),Poet; lived here. Address: 99 Gloucester Place; W1,,,,51.519968,-0.158849,,N,N,
BROWNING; Elizabeth Barrett,(1806-1861),Poet; lived in a house on this site 1838-1846. Inscription in stone panel under ground floor window intended to replace RSA plaque erected in 1898 on a building now demolished. The old plaque was refixed at second floor level and reads 'Elizabeth Barrett Browning; poetess; afterwards wife of Robert Browning lived here'. Address: 50 Wimpole Street; W1,,,,51.517359,-0.147901,,N,N,
BRUMMELL; Beau,(1778-1840),Leader of Fashion; lived here. Address: 4 Chesterfield Street; Mayfair; W1,,,,51.507106,-0.14845,,N,N,
BRUNEL; Isambard Kingdom,(1806-1859),Sir Marc; Isambard Brunel; 1769-1849; and Isambard; Kingdom Brunel; 1806-1859; Civil Engineers; lived here Address: 98 Cheyne Walk; SW10,,,,51.481869,-0.174786,,N,N,
BRUNEL; Sir Marc Isambard,(1769-1849),Sir Marc; Isambard Brunel; 1769-1849; and Isambard; Kingdom Brunel; 1806-1859; Civil Engineers; lived here Address: 98 Cheyne Walk; SW10,,,,51.481869,-0.174786,,N,N,
BURGOYNE; General John,(1722-1792),lived and died here. Address: 10 Hertford Street; W1,,,,51.505744,-0.147884,,N,N,
BURKE; Edmund; ,(1729-1797),Author and Statesman; lived here . Address: 37 Gerrard Street; W1,,,,51.511811,-0.131005,,N,N,
BURNE-JONES; Sir Edward,(1833-1898),Artist; lived here 1865-1867. Address: 41 Kensington Square; Kensington; W8,,,,51.500831,-0.19011,,N,N,
BURNETT; Frances Hodgson,(1849-1924),Writer; lived here. Address: 63 Portland Place; W1,,,,51.521702,-0.14575,,N,N,
"CHURCHILL, Lord Randolph",(1849-1895),,"British statesman, father of Sir Winston Churchill","2 Connaught Place, W2",,51.513521,-0.162108,Park Lane,Y,N,
BURNS; John,(1858-1943),Statesman; lived here. Address: 110 North Side; Clapham Common; SW4,,,,51.459901,-0.157628,,N,N,
BUSS; Frances Mary,(1827-1894),Pioneer of Education for Women was Headmistress here 1879-1894. Address: Camden School for Girls; Sandall Road; NW5,,,,51.559614,-0.144138,,N,N,
BUTLER; Josephine,(1828-1906),Champion of Women's Rights; lived here 1890-1893 Address: 8 North View; Wimbledon Common; SW19,,,,51.427212,-0.231965,,N,N,
BUTT; Dame Clara,(1873-1936),Singer; lived here 1901-1929. Address: 7 Harley Road; NW3,,,,51.540867,-0.169762,,N,N,
BUTTERFIELD; William,(1814-1900),Architect; lived here. Address: 42 Bedford Square; WC1,,,,51.519781,-0.123812,,N,N,
BUXTON; Sir Thomas Fowell,(1786-1845),Anti$Slavery Campaigner; lived and worked here. Address: The Directors$ House; Old Truman Brewery; 91 Brick Lane; E1,,,,51.520842,-0.071871,,N,N,
CALDECOTT; Randolph,(1846-1886),Artist and Book Illustrator; lived here. Address: 46 Great Russell Street; WC2,,,,51.518144,-0.126379,,N,N,
CAMPBELL-BANNERMAN; Sir Henry,(1836-1908),Prime Minister; lived here. Address: 6 Grosvenor Place; SW1,,,,51.488633,-0.129447,,N,N,
CAMPBELL; Colen,(1676-1729),Architect and Author of 'Vitruvius Britannicus'; lived and died here. Address: 76 Brook Street; W1,,,,51.473525,0.158366,,N,N,
CANAL (CANALETTO); Antonio,(1697-1768),Venetian Painter; Lived; here Address: 41 Beak Street; W1,,,,51.511898,-0.138671,,N,N,
CANNING; George,(1770-1827),Statesman; lived here. Address: 50 Berkeley Square; W1,,,,51.509083,-0.14584,,N,N,
CARLILE; Prebendary Wilson,(1847-1942),Founder of the Church Army; lived here. Address: 34 Sheffield Terrace; W8,,,,51.505482,-0.195787,,N,N,
CARLYLE; Thomas,(1795-1881),Essayist and Historian; lived here. Address: 33 Ampton Street; WC1,,,,51.527336,-0.117938,,N,N,
CARTER; Howard,(1874-1939),Egyptologist and Discoverer of the tomb of Tutankhamun; lived here. Address: 19 Collingham Gardens; SW5,,,,51.491871,-0.188717,,N,N,
CASLON; William. ,(XXXX),"The Foundry established by William Caslon; Typefounder (1692-1766), stood on this site 1737-1909. Address: 21-23 Chiswell Street; EC1",,,,51.520785,-0.090257,,N,N,
CASTLEREAGH; Viscount,(1769-1822),Statesman; lived and died here. Address: Loring Hall; Water Lane; North Cray,,,,51.431408,0.13969,,N,N,
CATO STREET CONSPIRACY ,(XXXX),Discovered here; 23 February 1820. Address: 1a Cato Street; W1,,,,51.51837,-0.165617,,N,N,
CAVELL; Edith,(1865-1915),Pioneer of modern nursing in Belgium and Heroine of the Great War; trained and worked here 1896-1901. Address: London Hospital; Whitechapel; E1,,,,51.52157,-0.045486,,N,N,
CAVENDISH; Honble Henry; ,(XXXX),Natural Philosopher; lived here; born 1731 died 1810. Address: 11 Bedford Square; WC1,,,,51.520001,-0.124072,,N,N,
"DISRAELI, Benjamin - Earl of Beaconsfield",(1804-1881),,British politician of the Conservative Party who twice served as Prime Minister of the United Kingdom.,"19 Curzon Street, W1",,51.506364,-0.150525,Park Lane,Y,N,
CECIL; Viscount; of Chelwood,(1864-1958),Creator of the League of Nations; lived here. Address: 16 South Eaton Place; SW1,,,,51.493614,-0.153019,,N,N,
CETSHWAYO,(c1832-1884),King of the Zulus; stayed here; in 1882 Address: 18 Melbury Road; W14,,,,51.49922,-0.201917,,N,N,
CHADWICK; Sir Edwin,(1801-1890),Public Health Reformer; lived here Address: 5 Montague Road; Richmond,,,,51.455461,-0.297963,,N,N,
CHAIN; Sir Ernst,(1906-1979),Biochemist and Developer of Penicillin; lived here Address: 9 North View; Wimbledon Common; SW19,,,,51.427212,-0.231965,,N,N,
CHAMBERLAIN; Joseph,(1836-1914),Statesman; lived here. Address: 188 Camberwell Grove; SE5,,,,51.466975,-0.083876,,N,N,
CHAMBERLAIN; Joseph,(1836-1914),Statesman; lived here. Address: 25 Highbury Place; N5,,,,51.548917,-0.101703,,N,N,
CHAMBERLAIN; Neville,(1869-1940),Prime Minister; lived here 1923-1935. Address: 37 Eaton Square; SW1,,,,51.495388,-0.151509,,N,N,
CHAMBERS; Dorothea Lambert,(1878-1960),Lawn Tennis Champion; lived here 1887-1907 Address: 7 North Common Road; W5,,,,51.512108,-0.292704,,N,N,
CHAPMAN; Herbert,(1878-1934),Football Manager; lived and died here Address: 6 Haslemere Avenue; Hendon; NW4,,,,51.579141,-0.216085,,N,N,
CHARLES X,(1757-1836),last Bourbon King of France lived here 1805-1814. Address: 72 South Audley Street; W1,,,,51.458029,-0.993515,,N,N,
CHELSEA CHINA ,(XXXX),"was manufactured in a house at the north end of Lawrence Street 1745-1784. Tobias SMOLLETT (1721-1771), Novelist; also lived in part of the house from 1750 to 1762. Address: 16 Lawrence Street; SW3",,,,51.48423,-0.170984,,N,N,
CHESTERFIELD; Philip 4th Earl of,(1694-1774),Statesman and Author; lived in this house. Address: Ranger$s House; Chesterfield Walk; SE10,,,,51.496612,0.008792,,N,N,
CHESTERTON; Gilbert Keith,(1874-1936),Poet; Novelist and Critic; lived here. Address: 11 Warwick Gardens; W14,,,,51.49682,-0.203856,,N,N,
CHEVALIER; Albert,(1861-1923),Music Hall Comedian; was born here. Address: 17 St Ann's Villas; W11,,,,51.506925,-0.214838,,N,N,
CHIPPENDALE; Thomas,(XXXX),the workshop of Thomas Chippendale and his son; Cabinet Makers; stood near this site 1753-1813. Address: 61 St Martin's Lane; WC2,,,,51.509492,-0.129947,,N,N,
CHISHOLM; Caroline,(1808-1877),Philanthropist; 'The Emigrants' Friends'; lived here. Address: 32 Charlton Place; N1,,,,51.534659,-0.102898,,N,N,
CHOPIN; Frederic ,(1810-1849),From this house in 1848 Frederic CHOPIN went to the Guildhall to give his last public performance. Address: 4 St James's Place; SW1,,,,51.505958,-0.139188,,N,N,
CHRISTIE; Dame Agatha,(1890-1976),Detective novelist and playwright; lived here 1934-1941 Address: 58 Sheffield Terrace; W8,,,,51.505138,-0.197101,,N,N,
"MONTEFIORE, Sir Moses",(1784-1885),,Philanthropist and Jewish Leader;,"99 Park Lane, W1",,51.510458,-0.156758,Park Lane,Y,N,
CHURCHILL; Sir Winston; KG,(1874-1965),Prime Minister; lived and died here. Address: 28 Hyde Park Gate; Kensington Gore; SW7,,,,51.500168,-0.18148,,N,N,
CLARKSON; Willy,(1861-1934),Theatrical Wigmaker; lived and died here. Address: 41-43 Wardour Street; W1,,,,51.51206,-0.132687,,N,N,
CLAYTON; Reverend P.T.B. 'Tubby',(1885-1972),Founder of Toc H; lived here. Address: 43 Trinity Square; Tower Hill; EC3,,,,51.509968,-0.078018,,N,N,
CLEMENTI; Muzio,(1752-1832),Composer; lived here. Address: 128 Kensington Church Street; W8,,,,51.507069,-0.194642,,N,N,
CLIVE of India; Lord,(1725-1774),Soldier and Administrator; lived here. Address: 45 Berkeley Square; W1,,,,51.509412,-0.146281,,N,N,
COBDEN-SANDERSON; Thomas James,(1840-1922),Founded the Doves Bindery and Doves Press in this house; and later lived and died here. Address: 15 Upper Mall; W6,,,,51.490306,-0.239247,,N,N,
COBDEN; Richard,(1804-1865),Died Here. Address: 23 Suffolk Street; SW1,,,,51.50837,-0.130644,,N,N,
COBHAM; Sir Alan,(1894-1973),Aviator; was born here Address: 78 Denman Road; SE15,,,,51.472329,-0.076294,,N,N,
COCHRANE; Thomas; Earl of Dundonald,(1775-1860),"And later David; Earl BEATTY; OM (1871-1936), Admirals; lived here. Address: Hanover Lodge; Outer Circle; Regent's Park; NW1",,,,51.528584,-0.164438,,N,N,
COCKERELL; C.R. (Charles Robert),(1788-1863),Architect and Antiquary; lived and died here. Address: 13 Chester Terrace; NW1,,,,51.527771,-0.14537,,N,N,
COLE; Sir Henry,(1808-1882),Campaigner and Educator; First Director of the Victoria and Albert Museum; lived here. Address: 33 Thurloe Square; South Kensington; SW7,,,,51.495752,-0.171602,,N,N,
COLERIDGE-TAYLOR; Samuel,(1875-1912),Composer of the 'Song of Hiawatha'; lived here. Address: 30 Dagnall Park; South Norwood; SE25,,,,51.391229,-0.089742,,N,N,
COLERIDGE; Samuel Taylor,(1772-1834),Poet and Philosopher; lived here. Address: 7 Addison Bridge Place; W14,,,,51.495606,-0.207541,,N,N,
COLERIDGE; Samuel Taylor,(1772-1834),Poet and Philosopher; lived in a house on this site 1812-1813 Address: 71 Berners Street; W1,,,,51.516046,-0.135952,,N,N,
COLLINS MUSIC HALL ,(XXXX),Was here from 1862-1958. Address: 10-11 Islington Green; N1,,,,51.53646,-0.102884,,N,N,
COLLINS; William Wilkie,(1824-1889),Novelist; lived here. Address: 65 Gloucester Place; W1,,,,51.521673,-0.15962,,N,N,
COMPTON-BURNETT; Dame Ivy,(1884-1969),Novelist; lived here 1934-1969 Address: 5 Braemar Mansions; Cornwall Gardens; Kensington; SW7,,,,51.497134,-0.178366,,N,N,
CONAN DOYLE; Sir Arthur,(1859-1930),Creator of Sherlock Holmes; lived here 1891-1894. Address: 12 Tennison Road; South Norwood; SE25,,,,51.39555,-0.080936,,N,N,
CONRAD; Joseph,(1857-1924),Novelist; lived here. Address: 17 Gillingham Street; SW1,,,,51.49392,-0.141476,,N,N,
